Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	MultibandAccelerationFactor	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeVoxelSizeDim3_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__2	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	2	794	84	84	60	0.0512	0.00049999	90	False	LAS+	2232	fmap		60	1.0	True		1.0	j-	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.3999998569488525
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeObliquity_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__3	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	3	186	84	84	60	0.0512	0.00049999	90	False	LAS+	2232	fmap		60	1.0	False		1.0	j-	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeUnused_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__4	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	4	32	84	84	60	0.0512	0.00049999	90	False	LAS+	2232	fmap		60	1.0	True		1.0	j-	5.301	0.0414992	False	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTimeDim1SizeDim2SizeNSliceTimesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__5	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	5	25	90	90	60	0.08	0.000510012	90	False	LAS+	2232	fmap		0	1.0	True		1.0	j-	7.03	0.045391	True	2.4000000953674316	2.4000000953674316	2.4000027179718018
			acquisition-fMRIVARIANTObliquityVoxelSizeDim3_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__6	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	6	14	84	84	60	0.0512	0.000550001	90	False	LAS+	2232	fmap		60	1.0	False		1.0	j-	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.3999998569488525
			acquisition-fMRIVARIANTUnused_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__7	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	7	14	84	84	60	0.0512	0.000550001	90	False	LAS+	2232	fmap		60	1.0	True		1.0	j-	5.301	0.04565	False	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeObliquityVoxelSizeDim3Unused_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__8	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	8	7	84	84	60	0.0512	0.00049999	90	False	LAS+	2232	fmap		60	1.0	False		1.0	j-	5.301	0.0414992	False	2.404761791229248	2.404761791229248	2.3999998569488525
			acquisition-fMRIVARIANTVoxelSizeDim1VoxelSizeDim2_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__9	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	9	2	84	84	60	0.0512	0.000550001	90	False	LAS+	2232	fmap		60	1.0	True		1.0	j-	5.301	0.04565	True	2.392857074737549	2.392857074737549	2.4000000953674316
			acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTimeDim1SizeDim2SizeNSliceTimesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3Unused_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__10	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	10	2	90	90	60	0.08	0.000510012	90	False	LAS+	2232	fmap		0	1.0	True		1.0	j-	7.03	0.045391	False	2.4000000953674316	2.4000000953674316	2.3999998569488525
			acquisition-fMRIVARIANTPhaseEncodingDirectionVoxelSizeDim3_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__11	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	11	1	84	84	60	0.0512	0.000550001	90	False	LAS+	2232	fmap		60	1.0	True		1.0	j	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.3999998569488525
			acquisition-fMRIVARIANTPhaseEncodingDirectionObliquity_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__12	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	12	1	84	84	60	0.0512	0.000550001	90	False	LAS+	2232	fmap		60	1.0	False		1.0	j	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingPhaseEncodingDirectionRepetitionTimeTotalReadoutTime_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__13	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	13	1	84	84	60	0.0658	0.000720017	90	False	LAS+	2232	fmap		60	1.0	True		1.0	i	6.61	0.0597614	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingPhaseEncodingDirectionRepetitionTimeTotalReadoutTime_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__14	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	14	1	84	84	60	0.0598	0.000650001	90	False	LAS+	2232	fmap		60	1.0	True		1.0	i-	6.09	0.0539501	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTVoxelSizeDim1VoxelSizeDim2_datatype-fmap_direction-AP_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi__15	acquisition-fMRI_datatype-fmap_direction-AP_fmap-epi_suffix-epi	15	1	84	84	60	0.0512	0.000550001	90	False	LAS+	2232	fmap		60	1.0	True		1.0	j-	5.301	0.04565	True	2.4166667461395264	2.4166667461395264	2.4000000953674316
				acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__1	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	1	1134	84	84	60	0.0512	0.000550001	90	False	LAS+	2217	fmap		60	1.0	True		1.0	j	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeVoxelSizeDim3_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__2	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	2	795	84	84	60	0.0512	0.00049999	90	False	LAS+	2217	fmap		60	1.0	True		1.0	j	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.3999998569488525
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeObliquity_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__3	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	3	176	84	84	60	0.0512	0.00049999	90	False	LAS+	2217	fmap		60	1.0	False		1.0	j	5.301	0.0414992	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeUnused_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__4	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	4	32	84	84	60	0.0512	0.00049999	90	False	LAS+	2217	fmap		60	1.0	True		1.0	j	5.301	0.0414992	False	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTimeDim1SizeDim2SizeNSliceTimesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__5	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	5	25	90	90	60	0.08	0.000510012	90	False	LAS+	2217	fmap		0	1.0	True		1.0	j	7.03	0.045391	True	2.4000000953674316	2.4000000953674316	2.4000027179718018
			acquisition-fMRIVARIANTPhaseEncodingDirection_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__6	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	6	16	84	84	60	0.0512	0.000550001	90	False	LAS+	2217	fmap		60	1.0	True		1.0	j-	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTObliquityVoxelSizeDim3_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__7	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	7	13	84	84	60	0.0512	0.000550001	90	False	LAS+	2217	fmap		60	1.0	False		1.0	j	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.3999998569488525
			acquisition-fMRIVARIANTUnused_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__8	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	8	13	84	84	60	0.0512	0.000550001	90	False	LAS+	2217	fmap		60	1.0	True		1.0	j	5.301	0.04565	False	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEffectiveEchoSpacingTotalReadoutTimeObliquityUnused_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__9	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	9	6	84	84	60	0.0512	0.00049999	90	False	LAS+	2217	fmap		60	1.0	False		1.0	j	5.301	0.0414992	False	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingPhaseEncodingDirectionRepetitionTimeTotalReadoutTimeVoxelSizeDim1_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__10	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	10	3	84	84	60	0.0658	0.000720017	90	False	LAS+	2217	fmap		60	1.0	True		1.0	i	6.61	0.0597614	True	2.404761552810669	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTimeDim1SizeDim2SizeNSliceTimesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3Unused_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__11	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	11	2	90	90	60	0.08	0.000510012	90	False	LAS+	2217	fmap		0	1.0	True		1.0	j	7.03	0.045391	False	2.4000000953674316	2.4000000953674316	2.3999998569488525
			acquisition-fMRIVARIANTPhaseEncodingDirectionObliquity_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__12	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	12	1	84	84	60	0.0512	0.000550001	90	False	LAS+	2217	fmap		60	1.0	False		1.0	j-	5.301	0.04565	True	2.404761791229248	2.404761791229248	2.4000000953674316
			acquisition-fMRIVARIANTPhaseEncodingDirectionVoxelSizeDim3Unused_datatype-fmap_direction-PA_fmap-epi_suffix-epi	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi__13	acquisition-fMRI_datatype-fmap_direction-PA_fmap-epi_suffix-epi	13	1	84	84	60	0.0512	0.000550001	90	False	LAS+	2217	fmap		60	1.0	True		1.0	j-	5.301	0.04565	False	2.404761791229248	2.404761791229248	2.3999998569488525
